శ్ష	ÔÛæ
శ్స	ÔÞæ
శ్హ	Ôåæ
శ్ళ	Ôåæ
శ్క్ష	Ô<æ
శ్ఱ	Ô‚æ
ష్క	ÙŒæ
ష్ఖ	ÙUæ
ష్గ	ÙWæ
ష్ఘ	Ùœæ
ష్ఙ	ÙZæ
ష్చ	Ùeæ
ష్ఛ	Ùdæ
ష్జ	Ùjæ
ష్ఝ	Ùnæ
ష్ఞ	Ùqæ
ష్ట	Ùsæ
ష్ఠ	Ùxæ
ష్డ	Ùzæ
ష్ఢ	Ù{æ
ష్ణ	ÙŠæ
ష్త	Ùªæ
ష్థ	Ù¦æ
ష్ద	Ùªæ
ష్ధ	ÙÉæ
ష్న	ÙÝæ
ష్ప	Ùµæ
ష్ఫ	Ù¹æ
ష్బ	Ù¾æ
ష్భ	ÙÂæ
ష్మ	Ùšæ
ష్య	ÙŸæ
