# Shree-Tel-0908  glyphs=219  plat3 codes=217
# classes: ABOVE=16  BASE=166  BELOW=22  BLANK=1  DUMMY=9  MARK=3
# overhangBase=44  tallerTwin=17  runs=38

  0x00d4 \u00D4  byte=0xd2 BASE   adv=178  O.. bbox=(17,0)-(354,361)
  0x00d5 \u00D5  byte=0xd3 BASE   adv=380  ... bbox=(19,0)-(362,510)
  0x00d6 \u00D6  byte=0xd4 BASE   adv=370  ... bbox=(19,0)-(337,615)
  0x00d7 \u00D7  byte=0xd5 BASE   adv=377  O.. bbox=(41,-5)-(541,351)
  0x00d8 \u00D8  byte=0xd6 BASE   adv=204  .D. bbox=(-149,-319)-(169,297)
  0x00d9 \u00D9  byte=0xd7 BASE   adv=434  O.. bbox=(21,-99)-(521,355)
  0x00da \u00DA  byte=0xd8 BASE   adv=400  O.. bbox=(21,-104)-(550,445)
  0x00db \u00DB  byte=0xd9 BELOW  adv=40   .D. bbox=(-532,-316)-(-60,-22)
--- run 21  [0xdc 0xdd 0xde 0xdf 0xe0 0xe1]
  0x00dc \u00DC  byte=0xda BASE   adv=448  ... bbox=(26,-7)-(411,360)
  0x00dd \u00DD  byte=0xdb BASE   adv=396  O.. bbox=(26,-7)-(416,450)
  0x00de \u00DE  byte=0xdc BASE   adv=261  .D. bbox=(-144,-245)-(231,317)
  0x00df \u00DF  byte=0xdd BASE   adv=458  O.. bbox=(21,0)-(637,360)
  0x00e0 \u00E0  byte=0xde BASE   adv=658  ... bbox=(12,0)-(637,504)
  0x00e1 \u00E1  byte=0xdf MARK   adv=40   .D. bbox=(-419,-299)-(178,-20)
--- run 22  [0xe2 0xe3 0xe4 0xe5 0xe6 0xe7 0xe8 0xe9 0xea 0xeb 0xec 0xed 0xee 0xef 0xf0 0xf1 0xf2 0xf3 0xf4 0xf5 0xf6 0xf7 0xf8 0xf9 0xfa 0xfb]
  0x00e2 \u00E2  byte=0xe0 BASE   adv=224  O.. bbox=(23,0)-(398,360)
  0x00e3 \u00E3  byte=0xe1 BASE   adv=443  ... bbox=(22,0)-(417,470)
  0x00e4 \u00E4  byte=0xe2 BASE   adv=445  ..T bbox=(23,0)-(418,585)
  0x00e5 \u00E5  byte=0xe3 BASE   adv=233  .D. bbox=(-184,-288)-(199,337)
  0x00e6 \u00E6  byte=0xe4 ABOVE  adv=40   ... bbox=(-104,320)-(196,503)
  0x00e7 \u00E7  byte=0xe5 ABOVE  adv=40   ... bbox=(0,336)-(329,504)
  0x00e8 \u00E8  byte=0xe6 ABOVE  adv=40   ... bbox=(-183,320)-(117,499)
  0x00e9 \u00E9  byte=0xe7 BASE   adv=463  ... bbox=(-202,185)-(442,368)
  0x00ea \u00EA  byte=0xe8 BASE   adv=413  ... bbox=(-14,185)-(392,363)
  0x00eb \u00EB  byte=0xe9 BASE   adv=270  ... bbox=(-359,132)-(249,305)
  0x00ec \u00EC  byte=0xea ABOVE  adv=40   ... bbox=(-106,322)-(131,563)
  0x00ed \u00ED  byte=0xeb ABOVE  adv=40   ... bbox=(0,332)-(237,573)
  0x00ee \u00EE  byte=0xec ABOVE  adv=40   ... bbox=(-111,322)-(126,678)
  0x00ef \u00EF  byte=0xed ABOVE  adv=40   ... bbox=(0,327)-(229,683)
  0x00f0 \u00F0  byte=0xee ABOVE  adv=40   ... bbox=(-246,321)-(117,485)
  0x00f1 \u00F1  byte=0xef ABOVE  adv=40   ... bbox=(-267,320)-(136,483)
  0x00f2 \u00F2  byte=0xf0 ABOVE  adv=78   ... bbox=(0,327)-(252,490)
  0x00f3 \u00F3  byte=0xf1 ABOVE  adv=40   ... bbox=(-246,320)-(121,599)
  0x00f4 \u00F4  byte=0xf2 ABOVE  adv=40   ... bbox=(-271,320)-(136,599)
  0x00f5 \u00F5  byte=0xf3 ABOVE  adv=78   ... bbox=(0,327)-(253,611)
  0x00f6 \u00F6  byte=0xf4 BASE   adv=427  ... bbox=(-150,320)-(427,510)
  0x00f7 \u00F7  byte=0xf5 BASE   adv=268  ... bbox=(-371,146)-(247,318)
  0x00f8 \u00F8  byte=0xf6 BASE   adv=425  ... bbox=(-147,320)-(425,625)
  0x00f9 \u00F9  byte=0xf7 BASE   adv=262  ... bbox=(-377,141)-(241,429)
  0x00fa \u00FA  byte=0xf8 BASE   adv=452  ... bbox=(-141,301)-(452,483)
  0x00fb \u00FB  byte=0xf9 BASE   adv=255  ... bbox=(-331,161)-(234,333)
--- run 23  [0x152 0x153]
  0x0152 \u0152  byte=0x8a ABOVE  adv=40   ... bbox=(-87,320)-(255,626)
  0x0153 \u0153  byte=0x9a BASE   adv=438  ... bbox=(21,-116)-(401,365)
--- run 24  [0x160 0x161]
  0x0160 \u0160  byte=0x88 ABOVE  adv=40   ... bbox=(-158,320)-(176,594)
  0x0161 \u0161  byte=0x98 BASE   adv=487  .D. bbox=(-162,-209)-(454,344)
--- run 25  [0x178]
  0x0178 \u0178  byte=0x9b BASE   adv=387  O.. bbox=(-85,321)-(407,510)
--- run 26  [0x192]
  0x0192 \u0192  byte=0x7e BELOW  adv=40   .D. bbox=(-599,-333)-(-60,-21)
--- run 27  [0x2c6]
  0x02c6 \u02C6  byte=0x86 BELOW  adv=40   .D. bbox=(-449,-300)-(1,-27)
--- run 28  [0x2dc]
  0x02dc \u02DC  byte=0x96 BASE   adv=483  O.. bbox=(-60,0)-(498,490)
--- run 29  [0x2013 0x2014]
  0x2013 \u2013  byte=0x94 BASE   adv=245  .D. bbox=(-116,-310)-(224,310)
  0x2014 \u2014  byte=0x95 BASE   adv=457  .D. bbox=(-120,-310)-(436,283)
--- run 30  [0x2018 0x2019 0x201a]
  0x2018 \u2018  byte=0x8c BASE   adv=170  ... bbox=(60,0)-(110,340)
  0x2019 \u2019  byte=0x90 BASE   adv=875  ... bbox=(60,-130)-(815,580)
  0x201a \u201A  byte=0x7d BASE   adv=374  O.. bbox=(37,0)-(537,356)
--- run 31  [0x201c 0x201d 0x201e]
  0x201c \u201C  byte=0x91 BASE   adv=416  ... bbox=(44,0)-(409,351)
  0x201d \u201D  byte=0x92 BASE   adv=419  ... bbox=(47,0)-(412,351)
  0x201e \u201E  byte=0x82 BASE   adv=182  OD. bbox=(9,-210)-(446,350)
--- run 32  [0x2020 0x2021 0x2022]
  0x2020 \u2020  byte=0x84 BASE   adv=509  ... bbox=(30,0)-(473,480)
  0x2021 \u2021  byte=0x85 BASE   adv=306  OD. bbox=(-361,-329)-(351,302)
  0x2022 \u2022  byte=0x93 BELOW  adv=40   .D. bbox=(-419,-417)-(-4,-234)
--- run 33  [0x2026]
  0x2026 \u2026  byte=0x83 BASE   adv=411  ... bbox=(32,0)-(379,346)
--- run 34  [0x2030]
  0x2030 \u2030  byte=0x87 BELOW  adv=40   .D. bbox=(-432,-380)-(-2,-36)
--- run 35  [0x2039]
  0x2039 \u2039  byte=0x89 ABOVE  adv=40   ... bbox=(0,327)-(304,606)
--- run 36  [0x2122]
  0x2122 \u2122  byte=0x97 BASE   adv=255  O.. bbox=(31,0)-(464,360)
--- run 37  [0x2219]
  0x2219 \u2219  byte=0xb5 BASE   adv=600  ... bbox=(100,-10)-(500,390)
